Métrique,2022,2023,2024
Revenus (millions $),81462.0,96773.0,97690.0
Bénéfice Net (millions $),12587.0,14974.0,7153.0
Bénéfice Brut (millions $),20853.0,17660.0,17450.0
Actifs Totaux (millions $),,106618.0,122070.0
Passifs Totaux (millions $),,43009.0,48390.0
Marge Brute (%),25.598438535759005,18.248891736331416,17.862626676220696
Marge Nette (%),15.451376101740689,15.47332417099811,7.322141467908691
Ratio d'Endettement (%),,40.33934232493575,39.641189481445075
