Métrique,2022,2023,2024
Revenus (millions $),188852.0,205357.0,225340.0
Bénéfice Net (millions $),67430.0,72361.0,72361.0
Bénéfice Brut (millions $),126131.0,141694.0,157738.0
Actifs Totaux (millions $),,364411.0,386000.0
Passifs Totaux (millions $),,180453.0,195000.0
Marge Brute (%),66.78827865206617,68.99886539051505,70.0
Marge Nette (%),35.705208311270205,35.236685382042005,32.11191976568741
Ratio d'Endettement (%),,49.51908696499282,50.51813471502591
